RÉSUMÉ ÉTUDIANT
Code,6108
Année,6A
Type,1
Groupe,G1_05
Vacations Poly (total),35

Semaine,Période,lundi M,lundi AM,mardi M,mardi AM,mercredi M,mercredi AM,jeudi M,jeudi AM,vendredi M,vendredi AM
36,1,A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage))
37,1,cours/indispo promo,Poly 4/6 avec 4108,—,cours/indispo promo,—,—,—,cours/indispo promo,cours/indispo promo,—
38,1,cours/indispo promo,Poly 4/6 avec 4108,Poly 4/6 avec 4108,cours/indispo promo,—,—,—,cours/indispo promo,cours/indispo promo,—
39,1,—,Poly 4/6 avec 4108,—,cours/indispo promo,—,—,—,cours/indispo promo,—,—
40,1,—,Poly 4/6 avec 4108,Poly 4/6 avec 4108,—,—,—,—,—,—,—
41,1,—,Poly 4/6 avec 4108,—,—,—,—,—,—,—,—
42,1,—,Poly 4/6 avec 4108,Poly 4/6 avec 4108,—,—,—,—,—,—,—
43,1,—,Poly 4/6 avec 4108,Poly 4/6 avec 4108,—,—,—,—,—,—,—
44,1,—,Poly 4/6 avec 4108,—,—,—,—,—,—,—,—
45,2,A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage))
