RÉSUMÉ ÉTUDIANT
Code,4412
Année,4A
Type,4
Groupe,G4_09
Vacations Poly (total),71
Détail,normal:61 examen:4 rattrap:6 débord:0

Semaine,Période,lundi M,lundi AM,mardi M,mardi AM,mercredi M,mercredi AM,jeudi M,jeudi AM,vendredi M,vendredi AM
36,1,cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A)
37,1,cours/indispo promo (C),—,—,cours/indispo promo (C),—,—,Poly 4/6 avec 6412,cours/indispo promo (C),cours/indispo promo (C),Poly 4/6 avec 6412
38,1,cours/indispo promo (C),—,—,cours/indispo promo (C),—,—,Poly 4/6 avec 6412,cours/indispo promo (C),cours/indispo promo (C),Poly 4/6 avec 6412
39,1,cours/indispo promo (C),—,Urgences (6/4),cours/indispo promo (C),Pédo-soin (PEDO-A2),—,Poly 4/6 avec 6412,cours/indispo promo (C),cours/indispo promo (C),—
40,1,cours/indispo promo (C),—,—,cours/indispo promo (C),—,—,Poly 4/6 avec 6412,cours/indispo promo (C),cours/indispo promo (C),Poly 4/6 avec 6412
41,1,cours/indispo promo (C),—,—,cours/indispo promo (C),—,—,Poly 4/6 avec 6412,cours/indispo promo (C),cours/indispo promo (C),Poly 4/6 avec 6412
42,1,cours/indispo promo (C),—,—,cours/indispo promo (C),—,Radio,Poly 4/6 avec 6412,cours/indispo promo (C),cours/indispo promo (C),Poly 4/6 avec 6412
43,1,cours/indispo promo (C),Urgences (6/4),—,cours/indispo promo (C),—,—,Poly 4/6 avec 6412,cours/indispo promo (C),cours/indispo promo (C),—
44,1,cours/indispo promo (C),—,Occluso,cours/indispo promo (C),—,—,Poly 4/6 avec 6412,cours/indispo promo (C),cours/indispo promo (C),Poly 4/6 avec 6412
45,2,—,—,cours/indispo promo (C),—,—,cours/indispo promo (C),Radio,Poly 4/6 avec 6412 (rattrap),cours/indispo promo (C),cours/indispo promo (C)
46,2,—,COMO,cours/indispo promo (C),—,cours/indispo promo (F),cours/indispo promo (F),—,—,—,cours/indispo promo (C)
47,2,Urgences (6/4),—,cours/indispo promo (C),—,—,cours/indispo promo (C),Poly 4/6 avec 6412,—,Poly 4/6 avec 6412,cours/indispo promo (C)
48,2,—,—,cours/indispo promo (C),—,—,cours/indispo promo (C),Poly 4/6 avec 6412,—,Poly 4/6 avec 6412,cours/indispo promo (C)
49,2,Radio,—,cours/indispo promo (C),—,—,cours/indispo promo (C),Poly 4/6 avec 6412,—,Pédo-soin (PEDO-A2),cours/indispo promo (C)
50,2,—,—,cours/indispo promo (C),—,Urgences (4),—,—,Poly 6A absent (examen),Poly 4/6 avec 6412,cours/indispo promo (C)
51,2,—,—,cours/indispo promo (C),—,—,—,Poly 4/6 avec 6412,—,Poly 4/6 avec 6412,cours/indispo promo (C)
52,2,—,—,Occluso,Radio,—,—,—,cours/indispo promo (F),cours/indispo promo (F),cours/indispo promo (F)
1,2,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé
2,3,—,Urgences (6/4),Poly 4/6 avec 6412 (examen),Poly 4/6 avec 6412 (examen),cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (ER),cours/indispo promo (ER)
3,3,—,Stérilisation,cours/indispo promo (C),—,cours/indispo promo (C),—,Poly 4/6 avec 6412,—,cours/indispo promo (C),Poly 4/6 avec 6412
4,3,—,—,cours/indispo promo (C),—,cours/indispo promo (C),—,Poly 4/6 avec 6412,—,cours/indispo promo (C),Poly 4/6 avec 6412
5,3,—,—,cours/indispo promo (C),—,cours/indispo promo (C),—,Poly 4/6 avec 6412,—,cours/indispo promo (C),Urgences (6/4)
6,3,Radio,—,cours/indispo promo (C),—,cours/indispo promo (C),—,Pédo-soin (PEDO-6A-B-jeuM),—,cours/indispo promo (C),Poly 4/6 avec 6412 (rattrap)
7,3,—,COMO,cours/indispo promo (C),—,cours/indispo promo (C),—,Poly 4/6 avec 6412,—,cours/indispo promo (C),Poly 4/6 avec 6412
8,3,—,—,cours/indispo promo (C),—,cours/indispo promo (C),—,Poly 4/6 avec 6412,—,cours/indispo promo (C),Poly 4/6 avec 6412
9,4,Pédo-soin (PEDO-6A-B-lunM),Urgences (6/4),cours/indispo promo (C),—,—,cours/indispo promo (C),—,—,cours/indispo promo (C),Poly 6A absent (rattrap)
10,4,Service sanitaire (SS-P4G1),Service sanitaire (SS-P4G1),cours/indispo promo (C),—,Radio,cours/indispo promo (C),—,—,cours/indispo promo (C),—
11,4,Service sanitaire (SS-P4G1),Service sanitaire (SS-P4G1),cours/indispo promo (C),—,—,cours/indispo promo (C),Occluso,—,cours/indispo promo (C),Poly 6A absent (rattrap)
12,4,Service sanitaire (SS-P4G1),Service sanitaire (SS-P4G1),cours/indispo promo (C),Urgences (6/4),—,cours/indispo promo (C),—,—,cours/indispo promo (C),—
