RÉSUMÉ ÉTUDIANT
Code,5106
Année,5A
Type,1
Groupe,G1_55_03
Vacations Poly (total),83
Détail,normal:61 examen:4 rattrap:18 débord:0

Semaine,Période,lundi M,lundi AM,mardi M,mardi AM,mercredi M,mercredi AM,jeudi M,jeudi AM,vendredi M,vendredi AM
36,1,—,—,Poly 5/5 avec 5105 (rattrap),Poly 5/5 avec 5105 (rattrap),—,—,—,—,—,—
37,1,Poly 5/5 avec 5105,cours/indispo promo (C),cours/indispo promo (C),Poly 5/5 avec 5105,—,—,cours/indispo promo (C),—,—,—
38,1,Poly 5/5 avec 5105,cours/indispo promo (C),cours/indispo promo (C),Poly 5/5 avec 5105,—,—,cours/indispo promo (C),—,—,—
39,1,Poly 5/5 avec 5105,cours/indispo promo (C),cours/indispo promo (C),Poly 5/5 avec 5105,—,—,cours/indispo promo (C),—,—,—
40,1,Poly 5/5 avec 5105,cours/indispo promo (C),cours/indispo promo (C),Poly 5/5 avec 5105,—,—,cours/indispo promo (C),—,—,—
41,1,Poly 5/5 avec 5105,cours/indispo promo (C),cours/indispo promo (C),Poly 5/5 avec 5105,—,—,cours/indispo promo (C),—,—,—
42,1,Poly 5/5 avec 5105,cours/indispo promo (C),cours/indispo promo (C),Poly 5/5 avec 5105,—,—,cours/indispo promo (C),—,—,—
43,1,Poly 5/5 avec 5105,cours/indispo promo (C),cours/indispo promo (C),Poly 5/5 avec 5105,—,—,cours/indispo promo (C),—,—,—
44,1,Poly 5/5 avec 5105,cours/indispo promo (C),cours/indispo promo (C),Poly 5/5 avec 5105,—,—,cours/indispo promo (C),—,—,—
45,2,—,cours/indispo promo (C),Poly 5/5 avec 5105 (rattrap),—,cours/indispo promo (C),—,—,—,—,—
46,2,—,cours/indispo promo (C),Poly 5/5 avec 5105 (rattrap),Poly 5/5 avec 5105 (rattrap),cours/indispo promo (F),cours/indispo promo (F),—,—,—,—
47,2,Poly 5/5 avec 5105,cours/indispo promo (C),Poly 5/5 avec 5105,—,cours/indispo promo (C),—,—,—,—,—
48,2,Poly 5/5 avec 5105,cours/indispo promo (C),Poly 5/5 avec 5105,—,cours/indispo promo (C),—,—,—,—,—
49,2,Poly 5/5 avec 5105,cours/indispo promo (C),Poly 5/5 avec 5105,—,cours/indispo promo (C),—,—,—,—,—
50,2,—,cours/indispo promo (C),—,Poly 5/5 avec 5105,cours/indispo promo (C),—,—,—,—,—
51,2,Poly 5/5 avec 5105,cours/indispo promo (C),Poly 5/5 avec 5105,—,cours/indispo promo (C),—,—,—,—,—
52,2,—,—,Poly 5/5 avec 5105 (rattrap),Poly 5/5 avec 5105 (rattrap),—,—,—,cours/indispo promo (F),cours/indispo promo (F),cours/indispo promo (F)
1,2,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé
2,3,cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (E),—,Poly 5/5 avec 5105 (examen),—,Poly 5/5 avec 5105 (examen),cours/indispo promo (ER),cours/indispo promo (ER)
3,3,Poly 5/5 avec 5105,cours/indispo promo (C),Poly 5/5 avec 5105,—,—,—,cours/indispo promo (C),—,—,cours/indispo promo (C)
4,3,Poly 5/5 avec 5105,cours/indispo promo (C),Poly 5/5 avec 5105,—,—,—,cours/indispo promo (C),—,—,cours/indispo promo (C)
5,3,Poly 5/5 avec 5105,cours/indispo promo (C),Poly 5/5 avec 5105,—,—,—,cours/indispo promo (C),—,—,cours/indispo promo (C)
6,3,cours/indispo promo (Af),cours/indispo promo (Af),cours/indispo promo (Af),cours/indispo promo (Af),cours/indispo promo (Af),cours/indispo promo (Af),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (Af),cours/indispo promo (Af)
7,3,Poly 5/5 avec 5105,cours/indispo promo (C),Poly 5/5 avec 5105,—,—,—,cours/indispo promo (C),—,—,cours/indispo promo (C)
8,3,Poly 5/5 avec 5105,cours/indispo promo (C),Poly 5/5 avec 5105,—,—,—,cours/indispo promo (C),—,—,cours/indispo promo (C)
9,4,cours/indispo promo (C),cours/indispo promo (C),Poly 5/5 avec 5105 (rattrap),—,cours/indispo promo (C),—,—,—,—,—
10,4,cours/indispo promo (C),cours/indispo promo (C),Poly 5/5 avec 5105 (rattrap),Poly 5/5 avec 5105 (rattrap),cours/indispo promo (C),—,—,—,—,—
11,4,cours/indispo promo (C),cours/indispo promo (C),Poly 5/5 avec 5105 (rattrap),—,cours/indispo promo (C),—,—,—,—,—
12,4,cours/indispo promo (C),cours/indispo promo (C),Poly 5/5 avec 5105 (rattrap),Poly 5/5 avec 5105 (rattrap),cours/indispo promo (C),—,—,—,—,—
13,4,cours/indispo promo (C),cours/indispo promo (C),Poly 5/5 avec 5105 (rattrap),—,cours/indispo promo (C),—,—,—,—,—
14,4,cours/indispo promo (F),cours/indispo promo (F),cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (C),—,—,—,—,—
15,4,cours/indispo promo (C),cours/indispo promo (C),Poly 5/5 avec 5105 (rattrap),Poly 5/5 avec 5105 (rattrap),cours/indispo promo (C),—,—,—,—,—
16,4,—,Poly 5/5 avec 5105,—,Poly 5/5 avec 5105,—,—,—,—,—,—
17,4,—,Poly 5/5 avec 5105,—,Poly 5/5 avec 5105,—,—,—,—,—,—
18,5,cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (E),—,—,—,—
19,5,Poly 5/5 avec 5105 (examen),Poly 5/5 avec 5105 (examen),—,—,—,—,cours/indispo promo (F),cours/indispo promo (F),—,—
20,5,—,Poly 5/5 avec 5105,—,Poly 5/5 avec 5105,—,—,—,—,—,—
21,5,cours/indispo promo (F),cours/indispo promo (F),cours/indispo promo (E),cours/indispo promo (E),—,—,—,—,—,—
22,5,cours/indispo promo (E),cours/indispo promo (E),—,Poly 5/5 avec 5105,—,—,—,—,—,—
23,5,—,Poly 5/5 avec 5105,—,Poly 5/5 avec 5105,—,—,—,—,—,—
24,5,—,Poly 5/5 avec 5105,—,Poly 5/5 avec 5105,—,—,—,—,—,—
25,5,—,Poly 5/5 avec 5105,—,Poly 5/5 avec 5105,—,—,—,—,—,—
26,5,—,Poly 5/5 avec 5105,—,Poly 5/5 avec 5105,—,—,—,—,—,—
27,5,cours/indispo promo (E),cours/indispo promo (E),—,Poly 5/5 avec 5105,—,—,—,—,—,—
28,6,—,Poly 5/5 avec 5105,—,Poly 5/5 avec 5105,—,—,—,—,—,—
29,6,—,—,Poly 5/5 avec 5105 (rattrap),Poly 5/5 avec 5105 (rattrap),cours/indispo promo (F),cours/indispo promo (F),—,—,—,—
30,6,—,Poly 5/5 avec 5105,—,Poly 5/5 avec 5105,—,—,—,—,—,—
31,6,—,Poly 5/5 avec 5105,—,Poly 5/5 avec 5105,—,—,—,—,—,—
32,6,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé
33,6,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé
34,6,—,Poly 5/5 avec 5105,—,Poly 5/5 avec 5105,—,—,—,—,—,—
35,6,—,Poly 5/5 avec 5105,—,Poly 5/5 avec 5105,—,—,—,—,—,—
