RÉSUMÉ ÉTUDIANT
Code,4317
Année,4A
Type,3
Groupe,G3_14
Vacations Poly (total),70
Détail,normal:41 examen:2 rattrap:22 débord:5

Semaine,Période,lundi M,lundi AM,mardi M,mardi AM,mercredi M,mercredi AM,jeudi M,jeudi AM,vendredi M,vendredi AM
36,1,cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A)
37,1,cours/indispo promo (C),—,—,cours/indispo promo (C),Poly 4/6 avec 6317,—,Poly 4/6 avec 6317,cours/indispo promo (C),cours/indispo promo (C),—
38,1,cours/indispo promo (C),Urgences (6/4),—,cours/indispo promo (C),Poly 4/6 avec 6317,Pédo-soin (PEDO-A3),—,cours/indispo promo (C),cours/indispo promo (C),—
39,1,cours/indispo promo (C),—,—,cours/indispo promo (C),Poly 4/6 avec 6317,—,—,cours/indispo promo (C),cours/indispo promo (C),—
40,1,cours/indispo promo (C),—,—,cours/indispo promo (C),Poly 4/6 avec 6317,—,—,cours/indispo promo (C),cours/indispo promo (C),—
41,1,cours/indispo promo (C),—,Occluso,cours/indispo promo (C),Poly 4/6 avec 6317,—,Urgences (6/4),cours/indispo promo (C),cours/indispo promo (C),—
42,1,cours/indispo promo (C),—,—,cours/indispo promo (C),Poly 4/6 avec 6317,—,—,cours/indispo promo (C),cours/indispo promo (C),—
43,1,cours/indispo promo (C),—,—,cours/indispo promo (C),Poly 4/6 avec 6317,—,Poly 4/6 avec 6317,cours/indispo promo (C),cours/indispo promo (C),—
44,1,cours/indispo promo (C),—,—,cours/indispo promo (C),Poly 4/6 avec 6317,—,—,cours/indispo promo (C),cours/indispo promo (C),—
45,2,—,Urgences (6/4),cours/indispo promo (C),—,Poly 4/6 avec 6317 (rattrap),cours/indispo promo (C),Poly 4/6 avec 6317 (rattrap),—,cours/indispo promo (C),cours/indispo promo (C)
46,2,—,—,cours/indispo promo (C),—,cours/indispo promo (F),cours/indispo promo (F),Poly 4/6 avec 6317 (rattrap),Poly 4/6 avec 6317 (rattrap),Pédo-soin (PEDO-A2),cours/indispo promo (C)
47,2,—,—,cours/indispo promo (C),—,Poly 4/6 avec 6317,cours/indispo promo (C),—,—,Pédo-soin (PEDO-A2),cours/indispo promo (C)
48,2,—,—,cours/indispo promo (C),—,Poly 4/6 avec 6317,cours/indispo promo (C),—,—,Urgences (6/4),cours/indispo promo (C)
49,2,—,—,cours/indispo promo (C),—,Poly 4/6 avec 6317,cours/indispo promo (C),—,—,Occluso,cours/indispo promo (C)
50,2,—,—,cours/indispo promo (C),—,Poly 6A absent (examen),—,Poly 6A absent (examen),—,Pédo-soin (PEDO-A2),cours/indispo promo (C)
51,2,—,—,cours/indispo promo (C),—,Poly 4/6 avec 6317,—,Poly 4/6 avec 6317,—,Urgences (6/5/4),cours/indispo promo (C)
52,2,—,—,—,—,Poly 4/6 avec 6317 (rattrap),Poly 4/6 avec 6317 (rattrap),—,cours/indispo promo (F),cours/indispo promo (F),cours/indispo promo (F)
1,2,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé
2,3,—,—,—,—,cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (ER),cours/indispo promo (ER)
3,3,—,—,cours/indispo promo (C),—,cours/indispo promo (C),Poly 6A absent,—,—,cours/indispo promo (C),—
4,3,—,—,cours/indispo promo (C),—,cours/indispo promo (C),Poly 6A absent,Urgences (6/4),—,cours/indispo promo (C),—
5,3,—,—,cours/indispo promo (C),—,cours/indispo promo (C),Poly 6A absent,—,—,cours/indispo promo (C),—
6,3,—,—,cours/indispo promo (C),—,cours/indispo promo (C),Poly 6A absent (rattrap),—,Poly 6A absent (rattrap),cours/indispo promo (C),—
7,3,—,—,cours/indispo promo (C),—,cours/indispo promo (C),Poly 6A absent,Urgences (6/4),—,cours/indispo promo (C),—
8,3,Occluso,—,cours/indispo promo (C),—,cours/indispo promo (C),Poly 6A absent,Poly 6A absent,—,cours/indispo promo (C),—
9,4,—,—,cours/indispo promo (C),—,Poly 4/6 avec 6317 (rattrap),cours/indispo promo (C),Poly 4/6 avec 6317 (rattrap),—,cours/indispo promo (C),—
