RÉSUMÉ ÉTUDIANT
Code,5202
Année,5A
Type,2
Groupe,G2_55_01
Vacations Poly (total),91
Détail,normal:65 examen:4 rattrap:22 débord:0

Semaine,Période,lundi M,lundi AM,mardi M,mardi AM,mercredi M,mercredi AM,jeudi M,jeudi AM,vendredi M,vendredi AM
36,1,Pédo-soin (PEDO-A1) [remplissage],—,Poly trinome_5 avec 5201+E5201 (rattrap),Poly trinome_5 avec 5201+E5201 (rattrap),Urgences (5),—,—,—,—,—
37,1,Urgences (5),cours/indispo promo (C),cours/indispo promo (C),Poly trinome_5 avec 5201+E5201,—,Poly trinome_5 avec 5201+E5201,cours/indispo promo (C),—,—,—
38,1,—,cours/indispo promo (C),cours/indispo promo (C),Poly trinome_5 avec 5201+E5201,—,Poly trinome_5 avec 5201+E5201,cours/indispo promo (C),Urgences (5),—,—
39,1,—,cours/indispo promo (C),cours/indispo promo (C),Poly trinome_5 avec 5201+E5201,—,Poly trinome_5 avec 5201+E5201,cours/indispo promo (C),—,—,—
40,1,Urgences (6/5),cours/indispo promo (C),cours/indispo promo (C),Poly trinome_5 avec 5201+E5201,—,Poly trinome_5 avec 5201+E5201,cours/indispo promo (C),—,—,—
41,1,—,cours/indispo promo (C),cours/indispo promo (C),Poly trinome_5 avec 5201+E5201,—,Poly trinome_5 avec 5201+E5201,cours/indispo promo (C),—,—,—
42,1,Urgences (6/5),cours/indispo promo (C),cours/indispo promo (C),Poly trinome_5 avec 5201+E5201,—,Poly trinome_5 avec 5201+E5201,cours/indispo promo (C),—,—,—
43,1,—,cours/indispo promo (C),cours/indispo promo (C),Poly trinome_5 avec 5201+E5201,—,Poly trinome_5 avec 5201+E5201,cours/indispo promo (C),—,—,—
44,1,Urgences (6/5),cours/indispo promo (C),cours/indispo promo (C),Poly trinome_5 avec 5201+E5201,—,Poly trinome_5 avec 5201+E5201,cours/indispo promo (C),—,—,—
45,2,—,cours/indispo promo (C),Poly trinome_5 avec 5201+E5201 (rattrap),—,cours/indispo promo (C),Poly trinome_5 avec 5201+E5201 (rattrap),—,—,Pédo-soin (PEDO-A2) [remplissage],—
46,2,Urgences (5),cours/indispo promo (C),Poly trinome_5 avec 5201+E5201 (rattrap),Poly trinome_5 avec 5201+E5201 (rattrap),cours/indispo promo (F),cours/indispo promo (F),—,—,—,—
47,2,—,cours/indispo promo (C),Poly trinome_5 avec 5201+E5201,—,cours/indispo promo (C),Poly trinome_5 avec 5201+E5201,—,—,—,Urgences (6/5)
48,2,—,cours/indispo promo (C),Poly trinome_5 avec 5201+E5201,—,cours/indispo promo (C),Poly trinome_5 avec 5201+E5201,—,—,—,—
49,2,—,cours/indispo promo (C),Poly trinome_5 avec 5201+E5201,—,cours/indispo promo (C),Poly trinome_5 avec 5201+E5201,—,Urgences (5),—,—
50,2,—,cours/indispo promo (C),—,Poly trinome_5 avec 5201+E5201,cours/indispo promo (C),—,—,—,—,—
51,2,—,cours/indispo promo (C),Poly trinome_5 avec 5201+E5201,—,cours/indispo promo (C),Poly trinome_5 avec 5201+E5201,—,Urgences (5),—,—
52,2,—,—,Poly trinome_5 avec 5201+E5201 (rattrap),Poly trinome_5 avec 5201+E5201 (rattrap),—,—,—,cours/indispo promo (F),cours/indispo promo (F),cours/indispo promo (F)
1,2,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé
