RÉSUMÉ ÉTUDIANT
Code,4402
Année,4A
Type,4
Groupe,G4_01
Vacations Poly (total),71
Détail,normal:61 examen:2 rattrap:8 débord:0

Semaine,Période,lundi M,lundi AM,mardi M,mardi AM,mercredi M,mercredi AM,jeudi M,jeudi AM,vendredi M,vendredi AM
36,1,cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A)
37,1,cours/indispo promo (C),—,—,cours/indispo promo (C),Pédo-soin (PEDO-A2),—,Poly trinome avec 4401+6401,cours/indispo promo (C),cours/indispo promo (C),—
38,1,cours/indispo promo (C),—,—,cours/indispo promo (C),—,—,Poly trinome avec 4401+6401,cours/indispo promo (C),cours/indispo promo (C),Poly trinome avec 4401+6401
39,1,cours/indispo promo (C),—,—,cours/indispo promo (C),—,—,Poly trinome avec 4401+6401,cours/indispo promo (C),cours/indispo promo (C),Poly trinome avec 4401+6401
40,1,cours/indispo promo (C),—,Urgences (6/4),cours/indispo promo (C),—,—,Poly trinome avec 4401+6401,cours/indispo promo (C),cours/indispo promo (C),Poly trinome avec 4401+6401
41,1,cours/indispo promo (C),—,—,cours/indispo promo (C),—,—,Poly trinome avec 4401+6401,cours/indispo promo (C),cours/indispo promo (C),—
42,1,cours/indispo promo (C),—,Occluso,cours/indispo promo (C),—,—,Poly trinome avec 4401+6401,cours/indispo promo (C),cours/indispo promo (C),Poly trinome avec 4401+6401
43,1,cours/indispo promo (C),—,—,cours/indispo promo (C),Pédo-soin (PEDO-A2),—,Poly trinome avec 4401+6401,cours/indispo promo (C),cours/indispo promo (C),Poly trinome avec 4401+6401
44,1,cours/indispo promo (C),—,Urgences (6/4),cours/indispo promo (C),—,—,Poly trinome avec 4401+6401,cours/indispo promo (C),cours/indispo promo (C),Poly trinome avec 4401+6401
45,2,Service sanitaire (SS-P2G1),Service sanitaire (SS-P2G1),cours/indispo promo (C),—,—,cours/indispo promo (C),—,Poly 6A absent avec 4401 (rattrap),cours/indispo promo (C),cours/indispo promo (C)
46,2,Service sanitaire (SS-P2G1),Service sanitaire (SS-P2G1),cours/indispo promo (C),—,cours/indispo promo (F),cours/indispo promo (F),—,—,—,cours/indispo promo (C)
47,2,Service sanitaire (SS-P2G1),Service sanitaire (SS-P2G1),cours/indispo promo (C),—,—,cours/indispo promo (C),Poly 6A absent avec 4401,—,—,cours/indispo promo (C)
48,2,Service sanitaire (SS-P2G1),Service sanitaire (SS-P2G1),cours/indispo promo (C),Urgences (6/4),—,cours/indispo promo (C),Poly 6A absent avec 4401,—,Poly 6A absent avec 4401,cours/indispo promo (C)
49,2,Service sanitaire (SS-P2G1),Service sanitaire (SS-P2G1),cours/indispo promo (C),—,—,cours/indispo promo (C),Poly 6A absent avec 4401,—,Poly 6A absent avec 4401,cours/indispo promo (C)
