RÉSUMÉ ÉTUDIANT
Code,E4101
Année,4A
Type,1
Groupe,G1_04
Vacations Poly (total),44
Détail,normal:20 examen:8 rattrap:12 débord:4

Semaine,Période,lundi M,lundi AM,mardi M,mardi AM,mercredi M,mercredi AM,jeudi M,jeudi AM,vendredi M,vendredi AM
36,1,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus
37,1,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus
38,1,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus
39,1,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus
40,1,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus
41,1,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus
42,1,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus
43,1,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus
44,1,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus
45,2,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus
46,2,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus
47,2,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus
48,2,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus
49,2,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus
50,2,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus
51,2,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus
52,2,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus
1,2,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus
2,3,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus
3,3,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus
4,3,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus
5,3,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus
6,3,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus
7,3,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus
8,3,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus
9,4,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus
10,4,Poly trinome avec 4107+6107 (rattrap),Poly trinome avec 4107+6107 (rattrap),cours/indispo promo (C),—,—,cours/indispo promo (C),—,—,cours/indispo promo (C),—
11,4,—,Poly trinome avec 4107+6107 (rattrap),cours/indispo promo (C),Poly trinome avec 4107+6107 (rattrap),—,cours/indispo promo (C),—,—,cours/indispo promo (C),—
12,4,Poly trinome avec 4107+6107 (rattrap),Poly trinome avec 4107+6107 (rattrap),cours/indispo promo (C),—,—,cours/indispo promo (C),—,—,cours/indispo promo (C),—
13,4,—,Poly trinome avec 4107+6107 (rattrap),cours/indispo promo (C),Poly trinome avec 4107+6107 (rattrap),—,cours/indispo promo (C),—,—,cours/indispo promo (C),—
14,4,cours/indispo promo (F),cours/indispo promo (F),cours/indispo promo (C),Poly trinome avec 4107+6107 (examen),—,cours/indispo promo (C),—,—,cours/indispo promo (C),—
15,4,Poly trinome avec 4107+6107 (rattrap),Poly trinome avec 4107+6107 (rattrap),cours/indispo promo (C),cours/indispo promo (C),—,—,—,—,cours/indispo promo (C),—
16,4,Poly trinome avec 4107+6107,—,Poly trinome avec 4107+6107,—,—,—,—,—,—,—
17,4,Poly trinome avec 4107+6107,—,Poly trinome avec 4107+6107,—,—,—,—,—,—,—
18,5,Poly trinome avec 4107+6107 (examen),Poly trinome avec 4107+6107 (examen),—,—,—,—,—,—,—,—
19,5,cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (F),cours/indispo promo (F),—,—
20,5,Poly trinome avec 4107+6107,—,Poly trinome avec 4107+6107,—,—,—,—,—,—,—
21,5,cours/indispo promo (F),cours/indispo promo (F),Poly trinome avec 4107+6107 (examen),Poly trinome avec 4107+6107 (examen),—,—,—,—,—,—
22,5,Poly trinome avec 4107+6107 (examen),Poly trinome avec 4107+6107 (examen),—,—,—,—,—,—,—,—
23,5,Poly trinome avec 4107+6107,Poly trinome avec 4107+6107 (débord),—,—,—,—,—,—,—,—
24,5,Poly trinome avec 4107+6107,Poly trinome avec 4107+6107 (débord),—,—,—,—,—,—,—,—
25,5,Poly trinome avec 4107+6107,Poly trinome avec 4107+6107 (débord),—,—,—,—,—,—,—,—
26,5,Poly trinome avec 4107+6107,—,—,—,—,—,—,—,—,—
27,5,Poly trinome avec 4107+6107 (examen),—,Poly trinome avec 4107+6107,—,—,—,—,—,—,—
28,6,Poly trinome avec 4107+6107,—,Poly trinome avec 4107+6107,—,—,—,—,—,—,—
29,6,Poly trinome avec 4107+6107 (rattrap),Poly trinome avec 4107+6107 (rattrap),—,—,cours/indispo promo (F),cours/indispo promo (F),—,—,—,—
30,6,Poly trinome avec 4107+6107,—,Poly trinome avec 4107+6107,—,—,—,—,—,—,—
31,6,Poly trinome avec 4107+6107,—,Poly trinome avec 4107+6107,—,—,—,—,—,—,—
32,6,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé
33,6,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé
34,6,Poly trinome avec 4107+6107,—,Poly trinome avec 4107+6107,—,—,—,—,—,—,—
35,6,Poly trinome avec 4107+6107,Poly trinome avec 4107+6107 (débord),—,—,—,—,—,—,—,—
