RÉSUMÉ ÉTUDIANT
Code,6101
Année,6A
Type,1
Groupe,G1_01
Vacations Poly (total),60
Détail,normal:42 examen:11 rattrap:5 débord:2

Semaine,Période,lundi M,lundi AM,mardi M,mardi AM,mercredi M,mercredi AM,jeudi M,jeudi AM,vendredi M,vendredi AM
36,1,cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C)
37,1,cours/indispo promo (C),Poly trinome avec 4101+4102,Stérilisation,cours/indispo promo (C),Pano/CBCT,Pédo-soin (PEDO-A3),—,cours/indispo promo (C),cours/indispo promo (C),—
38,1,cours/indispo promo (C),Poly trinome avec 4101+4102,Poly trinome avec 4101+4102,cours/indispo promo (C),Urgences (6/4),Pédo-soin (PEDO-A3),—,cours/indispo promo (C),cours/indispo promo (C),—
39,1,—,Poly trinome avec 4101+4102,—,cours/indispo promo (C),—,Pédo-soin (PEDO-A3),—,cours/indispo promo (C),—,—
40,1,—,Poly trinome avec 4101+4102,Poly trinome avec 4101+4102,—,—,Pédo-soin (PEDO-A3),Urgences (6/4),—,—,—
41,1,—,Poly trinome avec 4101+4102,—,—,—,Pédo-soin (PEDO-A3),—,—,—,—
42,1,—,Poly trinome avec 4101+4102,Poly trinome avec 4101+4102,Urgences (6/5),—,Pédo-soin (PEDO-A3),—,—,—,—
43,1,—,Poly trinome avec 4101+4102,—,—,—,Pédo-soin (PEDO-A3),—,—,—,—
44,1,—,Poly trinome avec 4101+4102,Poly trinome avec 4101+4102,Urgences (6/5),—,Pédo-soin (PEDO-A3),—,—,—,—
45,2,S,S,S,S,S,S,S,S,S,S
46,2,S,S,S,S,S,S,S,S,S,S
47,2,S,S,S,S,S,S,S,S,S,S
48,2,S,S,S,S,S,S,S,S,S,S
49,2,S,S,S,S,S,S,S,S,S,S
50,2,S,S,S,S,S,S,S,S,S,S
