RÉSUMÉ ÉTUDIANT
Code,5204
Année,5A
Type,2
Groupe,G2_55_02
Vacations Poly (total),91
Détail,normal:65 examen:4 rattrap:22 débord:0

Semaine,Période,lundi M,lundi AM,mardi M,mardi AM,mercredi M,mercredi AM,jeudi M,jeudi AM,vendredi M,vendredi AM
36,1,Pédo-soin (PEDO-A1) [remplissage],COMO,Poly 5/5 avec 5203 (rattrap),Poly 5/5 avec 5203 (rattrap),Stérilisation,Urgences (5),Radio,—,—,Paro
37,1,—,cours/indispo promo (C),cours/indispo promo (C),Poly 5/5 avec 5203,—,Poly 5/5 avec 5203,cours/indispo promo (C),Urgences (5),—,—
38,1,—,cours/indispo promo (C),cours/indispo promo (C),Poly 5/5 avec 5203,ODF,Poly 5/5 avec 5203,cours/indispo promo (C),—,—,—
39,1,Urgences (6/5),cours/indispo promo (C),cours/indispo promo (C),Poly 5/5 avec 5203,—,Poly 5/5 avec 5203,cours/indispo promo (C),—,—,—
40,1,—,cours/indispo promo (C),cours/indispo promo (C),Poly 5/5 avec 5203,—,Poly 5/5 avec 5203,cours/indispo promo (C),—,Urgences (6/5),—
41,1,COMO,cours/indispo promo (C),cours/indispo promo (C),Poly 5/5 avec 5203,—,Poly 5/5 avec 5203,cours/indispo promo (C),Radio,—,—
42,1,—,cours/indispo promo (C),cours/indispo promo (C),Poly 5/5 avec 5203,—,Poly 5/5 avec 5203,cours/indispo promo (C),—,Urgences (6/5),—
43,1,—,cours/indispo promo (C),cours/indispo promo (C),Poly 5/5 avec 5203,—,Poly 5/5 avec 5203,cours/indispo promo (C),—,Paro,—
44,1,—,cours/indispo promo (C),cours/indispo promo (C),Poly 5/5 avec 5203,—,Poly 5/5 avec 5203,cours/indispo promo (C),—,Urgences (6/5),—
45,2,—,cours/indispo promo (C),Poly 5/5 avec 5203 (rattrap),—,cours/indispo promo (C),Poly 5/5 avec 5203 (rattrap),—,—,Pédo-soin (PEDO-A2) [remplissage],—
46,2,—,cours/indispo promo (C),Poly 5/5 avec 5203 (rattrap),Poly 5/5 avec 5203 (rattrap),cours/indispo promo (F),cours/indispo promo (F),—,—,Urgences (6/5/4),ODF
47,2,—,cours/indispo promo (C),Poly 5/5 avec 5203,—,cours/indispo promo (C),Poly 5/5 avec 5203,—,—,—,Radio
48,2,—,cours/indispo promo (C),Poly 5/5 avec 5203,—,cours/indispo promo (C),Poly 5/5 avec 5203,—,Urgences (6/5/4),—,—
49,2,—,cours/indispo promo (C),Poly 5/5 avec 5203,—,cours/indispo promo (C),Poly 5/5 avec 5203,—,—,—,Paro
50,2,—,cours/indispo promo (C),—,Poly 5/5 avec 5203,cours/indispo promo (C),—,—,Urgences (5/4),—,—
51,2,—,cours/indispo promo (C),Poly 5/5 avec 5203,—,cours/indispo promo (C),Poly 5/5 avec 5203,—,—,—,COMO
52,2,—,—,Poly 5/5 avec 5203 (rattrap),Poly 5/5 avec 5203 (rattrap),—,Urgences (6/5/4),—,cours/indispo promo (F),cours/indispo promo (F),cours/indispo promo (F)
1,2,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé
2,3,cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (E),Poly 5/5 avec 5203 (examen),Poly 5/5 avec 5203 (examen),—,—,cours/indispo promo (ER),cours/indispo promo (ER)
3,3,Pédo-soin (PEDO-B1),cours/indispo promo (C),Poly 5/5 avec 5203,—,Poly 5/5 avec 5203,Radio,cours/indispo promo (C),—,—,cours/indispo promo (C)
4,3,Pédo-soin (PEDO-B1),cours/indispo promo (C),Poly 5/5 avec 5203,—,Poly 5/5 avec 5203,Urgences (5),cours/indispo promo (C),—,—,cours/indispo promo (C)
5,3,Pédo-soin (PEDO-B1),cours/indispo promo (C),Poly 5/5 avec 5203,ODF,Poly 5/5 avec 5203,—,cours/indispo promo (C),—,—,cours/indispo promo (C)
6,3,cours/indispo promo (Af),cours/indispo promo (Af),cours/indispo promo (Af),cours/indispo promo (Af),cours/indispo promo (Af),cours/indispo promo (Af),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (Af),cours/indispo promo (Af)
