RÉSUMÉ ÉTUDIANT
Code,5509
Année,5A
Type,5
Groupe,G5_55_05
Vacations Poly (total),84
Détail,normal:65 examen:2 rattrap:17 débord:0

Semaine,Période,lundi M,lundi AM,mardi M,mardi AM,mercredi M,mercredi AM,jeudi M,jeudi AM,vendredi M,vendredi AM
36,1,—,—,—,—,—,Pédo-soin (PEDO-A3),—,—,Poly 5/5 avec 5510 (rattrap),Poly 5/5 avec 5510 (rattrap)
37,1,Poly 5/5 avec 5510,cours/indispo promo (C),cours/indispo promo (C),—,—,Pédo-soin (PEDO-A3),cours/indispo promo (C),—,Poly 5/5 avec 5510,—
38,1,Poly 5/5 avec 5510,cours/indispo promo (C),cours/indispo promo (C),—,—,Pédo-soin (PEDO-A3),cours/indispo promo (C),—,Poly 5/5 avec 5510,—
39,1,Poly 5/5 avec 5510,cours/indispo promo (C),cours/indispo promo (C),—,—,Pédo-soin (PEDO-A3),cours/indispo promo (C),—,Poly 5/5 avec 5510,—
40,1,Poly 5/5 avec 5510,cours/indispo promo (C),cours/indispo promo (C),—,—,Pédo-soin (PEDO-A3),cours/indispo promo (C),—,Poly 5/5 avec 5510,—
41,1,Poly 5/5 avec 5510,cours/indispo promo (C),cours/indispo promo (C),—,—,Pédo-soin (PEDO-A3),cours/indispo promo (C),—,Poly 5/5 avec 5510,—
42,1,Poly 5/5 avec 5510,cours/indispo promo (C),cours/indispo promo (C),—,—,Pédo-soin (PEDO-A3),cours/indispo promo (C),—,Poly 5/5 avec 5510,—
43,1,Poly 5/5 avec 5510,cours/indispo promo (C),cours/indispo promo (C),—,—,Pédo-soin (PEDO-A3),cours/indispo promo (C),—,Poly 5/5 avec 5510,—
44,1,Poly 5/5 avec 5510,cours/indispo promo (C),cours/indispo promo (C),—,—,Pédo-soin (PEDO-A3),cours/indispo promo (C),—,Poly 5/5 avec 5510,—
45,2,—,cours/indispo promo (C),—,—,cours/indispo promo (C),—,Pédo-soin (PEDO-A3),—,Poly 5/5 avec 5510 (rattrap),Poly 5/5 avec 5510 (rattrap)
46,2,—,cours/indispo promo (C),—,—,cours/indispo promo (F),cours/indispo promo (F),Pédo-soin (PEDO-A3),—,Poly 5/5 avec 5510 (rattrap),Poly 5/5 avec 5510 (rattrap)
47,2,Poly 5/5 avec 5510,cours/indispo promo (C),—,—,cours/indispo promo (C),—,Pédo-soin (PEDO-A3),—,—,Poly 5/5 avec 5510
48,2,Poly 5/5 avec 5510,cours/indispo promo (C),—,—,cours/indispo promo (C),—,Pédo-soin (PEDO-A3),—,—,Poly 5/5 avec 5510
49,2,Poly 5/5 avec 5510,cours/indispo promo (C),—,—,cours/indispo promo (C),—,Pédo-soin (PEDO-A3),—,—,Poly 5/5 avec 5510
50,2,—,cours/indispo promo (C),—,—,cours/indispo promo (C),—,Pédo-soin (PEDO-A3),—,—,Poly 5/5 avec 5510
51,2,Poly 5/5 avec 5510,cours/indispo promo (C),—,—,cours/indispo promo (C),—,Pédo-soin (PEDO-A3),—,—,Poly 5/5 avec 5510
52,2,—,—,—,—,—,—,Pédo-soin (PEDO-A3),cours/indispo promo (F),cours/indispo promo (F),cours/indispo promo (F)
1,2,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé
2,3,cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (E),—,Pédo-soin (PEDO-B2) [remplissage],Poly 5/5 avec 5510 (examen),—,cours/indispo promo (ER),cours/indispo promo (ER)
3,3,Poly 5/5 avec 5510,cours/indispo promo (C),—,—,—,—,cours/indispo promo (C),—,Poly 5/5 avec 5510,cours/indispo promo (C)
4,3,Poly 5/5 avec 5510,cours/indispo promo (C),—,—,—,—,cours/indispo promo (C),—,Poly 5/5 avec 5510,cours/indispo promo (C)
5,3,Poly 5/5 avec 5510,cours/indispo promo (C),—,—,—,—,cours/indispo promo (C),—,Poly 5/5 avec 5510,cours/indispo promo (C)
6,3,cours/indispo promo (Af),cours/indispo promo (Af),cours/indispo promo (Af),cours/indispo promo (Af),cours/indispo promo (Af),cours/indispo promo (Af),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (Af),cours/indispo promo (Af)
7,3,Poly 5/5 avec 5510,cours/indispo promo (C),—,—,—,—,cours/indispo promo (C),—,Poly 5/5 avec 5510,cours/indispo promo (C)
8,3,Poly 5/5 avec 5510,cours/indispo promo (C),—,—,—,—,cours/indispo promo (C),—,Poly 5/5 avec 5510,cours/indispo promo (C)
9,4,cours/indispo promo (C),cours/indispo promo (C),—,—,cours/indispo promo (C),—,—,—,Poly 5/5 avec 5510 (rattrap),—
10,4,cours/indispo promo (C),cours/indispo promo (C),—,—,cours/indispo promo (C),—,—,—,Poly 5/5 avec 5510 (rattrap),Poly 5/5 avec 5510 (rattrap)
11,4,cours/indispo promo (C),cours/indispo promo (C),—,—,cours/indispo promo (C),—,—,—,Poly 5/5 avec 5510 (rattrap),—
12,4,cours/indispo promo (C),cours/indispo promo (C),—,—,cours/indispo promo (C),—,—,—,Poly 5/5 avec 5510 (rattrap),Poly 5/5 avec 5510 (rattrap)
13,4,cours/indispo promo (C),cours/indispo promo (C),—,—,cours/indispo promo (C),—,—,—,Poly 5/5 avec 5510 (rattrap),—
14,4,cours/indispo promo (F),cours/indispo promo (F),cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (C),Pédo-soin (PEDO-B3) [remplissage],—,—,—,Poly 5/5 avec 5510
15,4,cours/indispo promo (C),cours/indispo promo (C),—,—,cours/indispo promo (C),—,—,—,Poly 5/5 avec 5510 (rattrap),Poly 5/5 avec 5510 (rattrap)
16,4,—,Poly 5/5 avec 5510,—,—,—,—,—,—,—,Poly 5/5 avec 5510
17,4,—,Poly 5/5 avec 5510,—,—,—,—,—,—,—,Poly 5/5 avec 5510
18,5,cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (E),—,—,—,Poly 5/5 avec 5510
19,5,—,Poly 5/5 avec 5510 (examen),—,—,—,—,cours/indispo promo (F),cours/indispo promo (F),—,Poly 5/5 avec 5510
20,5,—,Poly 5/5 avec 5510,—,—,—,—,—,—,—,Poly 5/5 avec 5510
21,5,cours/indispo promo (F),cours/indispo promo (F),cours/indispo promo (E),cours/indispo promo (E),—,—,—,—,—,Poly 5/5 avec 5510
22,5,cours/indispo promo (E),cours/indispo promo (E),—,—,—,—,—,—,—,Poly 5/5 avec 5510
23,5,Pédo-soin (PEDO-56-lunM),Poly 5/5 avec 5510,—,—,—,—,—,—,—,Poly 5/5 avec 5510
24,5,—,Poly 5/5 avec 5510,—,—,—,—,—,—,—,Poly 5/5 avec 5510
25,5,Pédo-soin (PEDO-56-lunM),Poly 5/5 avec 5510,—,—,—,—,—,—,—,Poly 5/5 avec 5510
26,5,Pédo-soin (PEDO-56-lunM),Poly 5/5 avec 5510,—,—,—,—,—,—,—,Poly 5/5 avec 5510
27,5,cours/indispo promo (E),cours/indispo promo (E),—,—,—,—,—,—,—,Poly 5/5 avec 5510
28,6,—,Poly 5/5 avec 5510,—,—,—,—,—,—,—,Poly 5/5 avec 5510
