RÉSUMÉ ÉTUDIANT
Code,4112
Année,4A
Type,1
Groupe,G1_09
Vacations Poly (total),77
Détail,normal:43 examen:8 rattrap:20 débord:6

Semaine,Période,lundi M,lundi AM,mardi M,mardi AM,mercredi M,mercredi AM,jeudi M,jeudi AM,vendredi M,vendredi AM
36,1,cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A)
37,1,cours/indispo promo (C),Poly 4/6 avec 6112,Poly 4/6 avec 6112,cours/indispo promo (C),—,—,—,cours/indispo promo (C),cours/indispo promo (C),—
38,1,cours/indispo promo (C),Poly 4/6 avec 6112,Occluso,cours/indispo promo (C),Urgences (6/4),—,—,cours/indispo promo (C),cours/indispo promo (C),—
39,1,cours/indispo promo (C),Poly 4/6 avec 6112,Poly 4/6 avec 6112,cours/indispo promo (C),—,—,—,cours/indispo promo (C),cours/indispo promo (C),Radio
40,1,cours/indispo promo (C),Poly 4/6 avec 6112,—,cours/indispo promo (C),Pédo-soin (PEDO-A2),—,—,cours/indispo promo (C),cours/indispo promo (C),—
41,1,cours/indispo promo (C),Poly 4/6 avec 6112,Poly 4/6 avec 6112,cours/indispo promo (C),—,—,—,cours/indispo promo (C),cours/indispo promo (C),—
42,1,cours/indispo promo (C),Poly 4/6 avec 6112,Urgences (6/4),cours/indispo promo (C),—,—,—,cours/indispo promo (C),cours/indispo promo (C),—
43,1,cours/indispo promo (C),Poly 4/6 avec 6112,Poly 4/6 avec 6112,cours/indispo promo (C),—,—,Radio,cours/indispo promo (C),cours/indispo promo (C),—
44,1,cours/indispo promo (C),Poly 4/6 avec 6112,—,cours/indispo promo (C),—,—,—,cours/indispo promo (C),cours/indispo promo (C),—
45,2,Poly 4/6 avec 6112 (rattrap),Poly 4/6 avec 6112 (rattrap),cours/indispo promo (C),—,—,cours/indispo promo (C),—,Urgences (6/4),cours/indispo promo (C),cours/indispo promo (C)
46,2,Poly 4/6 avec 6112 (rattrap),Poly 4/6 avec 6112 (rattrap),cours/indispo promo (C),—,cours/indispo promo (F),cours/indispo promo (F),—,Service sanitaire (SS-P2G3),Service sanitaire (SS-P2G3),cours/indispo promo (C)
47,2,Stérilisation,Poly 4/6 avec 6112,cours/indispo promo (C),Poly 4/6 avec 6112,Radio,cours/indispo promo (C),—,Service sanitaire (SS-P2G3),Service sanitaire (SS-P2G3),cours/indispo promo (C)
48,2,Occluso,Poly 4/6 avec 6112,cours/indispo promo (C),—,—,cours/indispo promo (C),—,Service sanitaire (SS-P2G3),Service sanitaire (SS-P2G3),cours/indispo promo (C)
49,2,—,Poly 4/6 avec 6112,cours/indispo promo (C),Poly 4/6 avec 6112,Urgences (6/4),cours/indispo promo (C),—,Service sanitaire (SS-P2G3),Service sanitaire (SS-P2G3),cours/indispo promo (C)
50,2,Poly 4/6 avec 6112,—,cours/indispo promo (C),—,—,Pédo-soin (PEDO-A1),—,Service sanitaire (SS-P2G3),Service sanitaire (SS-P2G3),cours/indispo promo (C)
51,2,Radio,Poly 4/6 avec 6112,cours/indispo promo (C),—,—,—,—,Service sanitaire (SS-P2G3),Service sanitaire (SS-P2G3),cours/indispo promo (C)
52,2,Poly 4/6 avec 6112 (rattrap),Poly 4/6 avec 6112 (rattrap),—,Urgences (6/4),—,—,—,cours/indispo promo (F),cours/indispo promo (F),cours/indispo promo (F)
1,2,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé
2,3,—,—,—,—,cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (ER),cours/indispo promo (ER)
3,3,—,Poly 6A absent,cours/indispo promo (C),Poly 6A absent,cours/indispo promo (C),—,Radio,—,cours/indispo promo (C),—
4,3,—,Poly 6A absent,cours/indispo promo (C),Poly 6A absent,cours/indispo promo (C),Pédo-soin (PEDO-B2),Occluso,—,cours/indispo promo (C),Urgences (6/4)
5,3,—,Poly 6A absent,cours/indispo promo (C),—,cours/indispo promo (C),—,—,—,cours/indispo promo (C),—
6,3,—,Poly 6A absent (rattrap),cours/indispo promo (C),Poly 6A absent (rattrap),cours/indispo promo (C),Pédo-soin (PEDO-B2),—,—,cours/indispo promo (C),—
