RÉSUMÉ ÉTUDIANT
Code,E5301
Année,5A
Type,3
Groupe,G3_55_01
Vacations Poly (total),37
Détail,normal:30 examen:3 rattrap:4 débord:0

Semaine,Période,lundi M,lundi AM,mardi M,mardi AM,mercredi M,mercredi AM,jeudi M,jeudi AM,vendredi M,vendredi AM
36,1,—,—,—,—,—,—,Poly trinome_5 avec 5301+5302 (rattrap),Poly trinome_5 avec 5301+5302 (rattrap),—,—
37,1,—,cours/indispo promo (C),cours/indispo promo (C),—,—,Poly trinome_5 avec 5301+5302,cours/indispo promo (C),Poly trinome_5 avec 5301+5302,—,—
38,1,—,cours/indispo promo (C),cours/indispo promo (C),—,—,Poly trinome_5 avec 5301+5302,cours/indispo promo (C),Poly trinome_5 avec 5301+5302,—,—
39,1,—,cours/indispo promo (C),cours/indispo promo (C),—,—,Poly trinome_5 avec 5301+5302,cours/indispo promo (C),Poly trinome_5 avec 5301+5302,—,—
40,1,—,cours/indispo promo (C),cours/indispo promo (C),—,—,Poly trinome_5 avec 5301+5302,cours/indispo promo (C),Poly trinome_5 avec 5301+5302,—,—
41,1,—,cours/indispo promo (C),cours/indispo promo (C),—,—,Poly trinome_5 avec 5301+5302,cours/indispo promo (C),Poly trinome_5 avec 5301+5302,—,—
42,1,—,cours/indispo promo (C),cours/indispo promo (C),—,—,Poly trinome_5 avec 5301+5302,cours/indispo promo (C),Poly trinome_5 avec 5301+5302,—,—
43,1,—,cours/indispo promo (C),cours/indispo promo (C),—,—,Poly trinome_5 avec 5301+5302,cours/indispo promo (C),Poly trinome_5 avec 5301+5302,—,—
44,1,—,cours/indispo promo (C),cours/indispo promo (C),—,—,Poly trinome_5 avec 5301+5302,cours/indispo promo (C),Poly trinome_5 avec 5301+5302,—,—
45,2,—,cours/indispo promo (C),—,—,cours/indispo promo (C),Poly trinome_5 avec 5301+5302 (rattrap),—,—,—,—
46,2,—,cours/indispo promo (C),—,—,cours/indispo promo (F),cours/indispo promo (F),—,—,—,—
