RÉSUMÉ ÉTUDIANT
Code,4116
Année,4A
Type,1
Groupe,G1_13
Vacations Poly (total),48

Semaine,Période,lundi M,lundi AM,mardi M,mardi AM,mercredi M,mercredi AM,jeudi M,jeudi AM,vendredi M,vendredi AM
36,1,A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage))
37,1,cours/indispo promo,Poly 4/6 avec 6116,Poly 4/6 avec 6116,cours/indispo promo,—,—,—,cours/indispo promo,cours/indispo promo,—
38,1,cours/indispo promo,Poly 4/6 avec 6116,—,cours/indispo promo,—,—,—,cours/indispo promo,cours/indispo promo,—
39,1,cours/indispo promo,Poly 4/6 avec 6116,Poly 4/6 avec 6116,cours/indispo promo,—,—,—,cours/indispo promo,cours/indispo promo,—
40,1,cours/indispo promo,Poly 4/6 avec 6116,—,cours/indispo promo,—,—,—,cours/indispo promo,cours/indispo promo,—
41,1,cours/indispo promo,Poly 4/6 avec 6116,Poly 4/6 avec 6116,cours/indispo promo,—,—,—,cours/indispo promo,cours/indispo promo,—
42,1,cours/indispo promo,Poly 4/6 avec 6116,Poly 4/6 avec 6116,cours/indispo promo,—,—,—,cours/indispo promo,cours/indispo promo,—
43,1,cours/indispo promo,Poly 4/6 avec 6116,—,cours/indispo promo,—,—,—,cours/indispo promo,cours/indispo promo,—
44,1,cours/indispo promo,Poly 4/6 avec 6116,Poly 4/6 avec 6116,cours/indispo promo,—,—,—,cours/indispo promo,cours/indispo promo,—
45,2,Poly 6A absent (rattrap),Poly 6A absent (rattrap),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage))
46,2,Poly 6A absent (rattrap),Poly 6A absent (rattrap),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE)
47,2,—,Poly 6A absent,cours/indispo promo,—,—,cours/indispo promo,—,—,—,cours/indispo promo
48,2,—,Poly 6A absent,cours/indispo promo,Poly 6A absent,—,cours/indispo promo,—,—,—,cours/indispo promo
49,2,—,Poly 6A absent,cours/indispo promo,—,—,cours/indispo promo,—,—,—,cours/indispo promo
50,2,Poly 6A absent,A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN)
51,2,—,Poly 6A absent,cours/indispo promo,Poly 6A absent,—,—,—,—,—,cours/indispo promo
52,2,Poly 4/6 avec 6116 (rattrap),Poly 4/6 avec 6116 (rattrap),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE)
1,2,A INTERVENIR (VACANCES/FERMETURE),A INTERVENIR (VACANCES/FERMETURE),A INTERVENIR (VACANCES/FERMETURE),A INTERVENIR (VACANCES/FERMETURE),A INTERVENIR (VACANCES/FERMETURE),A INTERVENIR (VACANCES/FERMETURE),A INTERVENIR (VACANCES/FERMETURE),A INTERVENIR (VACANCES/FERMETURE),A INTERVENIR (VACANCES/FERMETURE),A INTERVENIR (VACANCES/FERMETURE)
2,3,Poly 4/6 avec 6116 (examen),Poly 4/6 avec 6116 (examen),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN)
3,3,—,Poly 4/6 avec 6116,cours/indispo promo,—,cours/indispo promo,—,—,—,cours/indispo promo,—
4,3,—,Poly 4/6 avec 6116,cours/indispo promo,Poly 4/6 avec 6116,cours/indispo promo,—,—,—,cours/indispo promo,—
5,3,—,Poly 4/6 avec 6116,cours/indispo promo,—,cours/indispo promo,—,—,—,cours/indispo promo,—
6,3,A INTERVENIR (JOUR BLOQUE),Poly 4/6 avec 6116 (rattrap),A INTERVENIR (JOUR BLOQUE),Poly 4/6 avec 6116 (rattrap),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE)
7,3,—,Poly 4/6 avec 6116,cours/indispo promo,Poly 4/6 avec 6116,cours/indispo promo,—,—,—,cours/indispo promo,—
8,3,—,Poly 4/6 avec 6116,cours/indispo promo,—,cours/indispo promo,—,—,—,cours/indispo promo,—
9,4,A INTERVENIR (CONFLIT (couplage)),Poly 4/6 avec 6116 (rattrap),A INTERVENIR (CONFLIT (couplage)),Poly 4/6 avec 6116 (rattrap),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage))
10,4,Poly 4/6 avec 6116 (rattrap),Poly 4/6 avec 6116 (rattrap),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage))
11,4,A INTERVENIR (CONFLIT (couplage)),Poly 4/6 avec 6116 (rattrap),A INTERVENIR (CONFLIT (couplage)),Poly 4/6 avec 6116 (rattrap),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage))
12,4,Poly 4/6 avec 6116 (rattrap),Poly 4/6 avec 6116 (rattrap),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage))
13,4,A INTERVENIR (CONFLIT (couplage)),Poly 4/6 avec 6116 (rattrap),A INTERVENIR (CONFLIT (couplage)),Poly 4/6 avec 6116 (rattrap),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage))
14,4,A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),Poly 4/6 avec 6116 (examen),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN)
15,4,Poly 4/6 avec 6116 (rattrap),Poly 4/6 avec 6116 (rattrap),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage))
16,4,Poly 6A absent,Poly 6A absent (débord),—,—,—,—,—,—,—,—
17,4,Poly 6A absent,—,—,—,—,—,—,—,—,—
18,5,A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN)
