RÉSUMÉ ÉTUDIANT
Code,E5301
Année,5A
Type,3
Groupe,G3_55_01
Vacations Poly (total),30

Semaine,Période,lundi M,lundi AM,mardi M,mardi AM,mercredi M,mercredi AM,jeudi M,jeudi AM,vendredi M,vendredi AM
36,1,A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),Poly trinome_5 avec 5301+5302 (rattrap),Poly trinome_5 avec 5301+5302 (rattrap),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage))
37,1,—,cours/indispo promo,cours/indispo promo,—,—,Poly trinome_5 avec 5301+5302,cours/indispo promo,Poly trinome_5 avec 5301+5302,—,—
38,1,—,cours/indispo promo,cours/indispo promo,—,—,Poly trinome_5 avec 5301+5302,cours/indispo promo,Poly trinome_5 avec 5301+5302,—,—
39,1,—,cours/indispo promo,cours/indispo promo,—,—,Poly trinome_5 avec 5301+5302,cours/indispo promo,Poly trinome_5 avec 5301+5302,—,—
40,1,—,cours/indispo promo,cours/indispo promo,—,—,Poly trinome_5 avec 5301+5302,cours/indispo promo,Poly trinome_5 avec 5301+5302,—,—
41,1,—,cours/indispo promo,cours/indispo promo,—,—,Poly trinome_5 avec 5301+5302,cours/indispo promo,Poly trinome_5 avec 5301+5302,—,—
42,1,—,cours/indispo promo,cours/indispo promo,—,—,Poly trinome_5 avec 5301+5302,cours/indispo promo,Poly trinome_5 avec 5301+5302,—,—
43,1,—,cours/indispo promo,cours/indispo promo,—,—,Poly trinome_5 avec 5301+5302,cours/indispo promo,Poly trinome_5 avec 5301+5302,—,—
44,1,—,cours/indispo promo,cours/indispo promo,—,—,Poly trinome_5 avec 5301+5302,cours/indispo promo,Poly trinome_5 avec 5301+5302,—,—
45,2,A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),Poly trinome_5 avec 5301+5302 (rattrap),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage))
46,2,A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE)
47,2,—,cours/indispo promo,—,—,cours/indispo promo,Poly trinome_5 avec 5301+5302,—,Poly trinome_5 avec 5301+5302,—,—
48,2,—,cours/indispo promo,—,—,cours/indispo promo,Poly trinome_5 avec 5301+5302,—,Poly trinome_5 avec 5301+5302,—,—
49,2,—,cours/indispo promo,—,—,cours/indispo promo,Poly trinome_5 avec 5301+5302,—,Poly trinome_5 avec 5301+5302,—,—
50,2,A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),Poly trinome_5 avec 5301+5302 (examen),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN)
51,2,—,cours/indispo promo,—,—,cours/indispo promo,Poly trinome_5 avec 5301+5302,—,Poly trinome_5 avec 5301+5302,—,—
52,2,A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),Poly trinome_5 avec 5301+5302 (rattrap),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE)
1,2,A INTERVENIR (VACANCES/FERMETURE),A INTERVENIR (VACANCES/FERMETURE),A INTERVENIR (VACANCES/FERMETURE),A INTERVENIR (VACANCES/FERMETURE),A INTERVENIR (VACANCES/FERMETURE),A INTERVENIR (VACANCES/FERMETURE),A INTERVENIR (VACANCES/FERMETURE),A INTERVENIR (VACANCES/FERMETURE),A INTERVENIR (VACANCES/FERMETURE),A INTERVENIR (VACANCES/FERMETURE)
2,3,A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),Poly trinome_5 avec 5301+5302 (examen),Poly trinome_5 avec 5301+5302 (examen),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN)
3,3,—,cours/indispo promo,—,—,Poly trinome_5 avec 5301+5302,—,cours/indispo promo,Poly trinome_5 avec 5301+5302,—,cours/indispo promo
4,3,—,cours/indispo promo,—,—,Poly trinome_5 avec 5301+5302,—,cours/indispo promo,Poly trinome_5 avec 5301+5302,—,cours/indispo promo
5,3,—,cours/indispo promo,—,—,Poly trinome_5 avec 5301+5302,—,cours/indispo promo,Poly trinome_5 avec 5301+5302,—,cours/indispo promo
6,3,A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE)
7,3,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus
8,3,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus
9,4,A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage))
10,4,A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage))
11,4,A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage))
12,4,A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage))
13,4,A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage))
14,4,A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN)
15,4,A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage)),A INTERVENIR (CONFLIT (couplage))
16,4,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus
17,4,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus
18,5,A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN)
19,5,A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN)
20,5,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus
21,5,A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN)
22,5,A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN)
23,5,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus
24,5,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus
25,5,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus
26,5,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus
27,5,A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN),A INTERVENIR (EXAMEN)
28,6,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus
29,6,A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE),A INTERVENIR (JOUR BLOQUE)
30,6,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus
31,6,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus
32,6,A INTERVENIR (VACANCES/FERMETURE),A INTERVENIR (VACANCES/FERMETURE),A INTERVENIR (VACANCES/FERMETURE),A INTERVENIR (VACANCES/FERMETURE),A INTERVENIR (VACANCES/FERMETURE),A INTERVENIR (VACANCES/FERMETURE),A INTERVENIR (VACANCES/FERMETURE),A INTERVENIR (VACANCES/FERMETURE),A INTERVENIR (VACANCES/FERMETURE),A INTERVENIR (VACANCES/FERMETURE)
33,6,A INTERVENIR (VACANCES/FERMETURE),A INTERVENIR (VACANCES/FERMETURE),A INTERVENIR (VACANCES/FERMETURE),A INTERVENIR (VACANCES/FERMETURE),A INTERVENIR (VACANCES/FERMETURE),A INTERVENIR (VACANCES/FERMETURE),A INTERVENIR (VACANCES/FERMETURE),A INTERVENIR (VACANCES/FERMETURE),A INTERVENIR (VACANCES/FERMETURE),A INTERVENIR (VACANCES/FERMETURE)
34,6,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus
35,6,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus,Erasmus
