RÉSUMÉ ÉTUDIANT
Code,5317
Année,5A
Type,3
Groupe,G3_55_08
Vacations Poly (total),86
Détail,normal:67 examen:5 rattrap:14 débord:0

Semaine,Période,lundi M,lundi AM,mardi M,mardi AM,mercredi M,mercredi AM,jeudi M,jeudi AM,vendredi M,vendredi AM
36,1,—,Urgences (5),—,—,—,—,Poly trinome_5 avec 5315+5316 (rattrap),Poly trinome_5 avec 5315+5316 (rattrap),Pédo-soin (PEDO-A4),Urgences (5)
37,1,—,cours/indispo promo (C),cours/indispo promo (C),—,—,Poly trinome_5 avec 5315+5316,cours/indispo promo (C),Poly trinome_5 avec 5315+5316,Pédo-soin (PEDO-A4),—
38,1,Urgences (5),cours/indispo promo (C),cours/indispo promo (C),—,—,Poly trinome_5 avec 5315+5316,cours/indispo promo (C),Poly trinome_5 avec 5315+5316,Pédo-soin (PEDO-A4),—
39,1,—,cours/indispo promo (C),cours/indispo promo (C),—,—,Poly trinome_5 avec 5315+5316,cours/indispo promo (C),Poly trinome_5 avec 5315+5316,Pédo-soin (PEDO-A4),Urgences (6/5/4)
40,1,—,cours/indispo promo (C),cours/indispo promo (C),—,—,Poly trinome_5 avec 5315+5316,cours/indispo promo (C),Poly trinome_5 avec 5315+5316,Pédo-soin (PEDO-A4),—
41,1,—,cours/indispo promo (C),cours/indispo promo (C),ODF,—,Poly trinome_5 avec 5315+5316,cours/indispo promo (C),Poly trinome_5 avec 5315+5316,Pédo-soin (PEDO-A4),Urgences (6/5/4)
42,1,—,cours/indispo promo (C),cours/indispo promo (C),—,—,Poly trinome_5 avec 5315+5316,cours/indispo promo (C),Poly trinome_5 avec 5315+5316,Pédo-soin (PEDO-A4),—
43,1,—,cours/indispo promo (C),cours/indispo promo (C),—,—,Poly trinome_5 avec 5315+5316,cours/indispo promo (C),Poly trinome_5 avec 5315+5316,Pédo-soin (PEDO-A4),Urgences (6/5/4)
44,1,—,cours/indispo promo (C),cours/indispo promo (C),—,—,Poly trinome_5 avec 5315+5316,cours/indispo promo (C),Poly trinome_5 avec 5315+5316,Pédo-soin (PEDO-A4),—
45,2,Pédo-soin (PEDO-A4),cours/indispo promo (C),—,—,cours/indispo promo (C),Poly trinome_5 avec 5315+5316 (rattrap),—,—,Urgences (6/5),—
46,2,Pédo-soin (PEDO-A4),cours/indispo promo (C),—,—,cours/indispo promo (F),cours/indispo promo (F),—,—,—,—
47,2,Pédo-soin (PEDO-A4),cours/indispo promo (C),—,—,cours/indispo promo (C),Poly trinome_5 avec 5315+5316,—,Poly trinome_5 avec 5315+5316,Urgences (5),—
48,2,Pédo-soin (PEDO-A4),cours/indispo promo (C),—,—,cours/indispo promo (C),Poly trinome_5 avec 5315+5316,—,Poly trinome_5 avec 5315+5316,—,—
49,2,Pédo-soin (PEDO-A4),cours/indispo promo (C),—,—,cours/indispo promo (C),Poly trinome_5 avec 5315+5316,—,Poly trinome_5 avec 5315+5316,Urgences (6/5/4),—
50,2,Pédo-soin (PEDO-A4),cours/indispo promo (C),—,—,cours/indispo promo (C),Poly trinome_5 avec 5315+5316 (examen),—,—,—,—
51,2,Pédo-soin (PEDO-A4),cours/indispo promo (C),—,—,cours/indispo promo (C),Poly trinome_5 avec 5315+5316,—,Poly trinome_5 avec 5315+5316,Urgences (6/5/4),ODF
52,2,Pédo-soin (PEDO-A4),—,—,—,—,—,Poly trinome_5 avec 5315+5316 (rattrap),cours/indispo promo (F),cours/indispo promo (F),cours/indispo promo (F)
1,2,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé
