RÉSUMÉ ÉTUDIANT
Code,5515
Année,5A
Type,5
Groupe,G5_55_08
Vacations Poly (total),84
Détail,normal:65 examen:2 rattrap:17 débord:0

Semaine,Période,lundi M,lundi AM,mardi M,mardi AM,mercredi M,mercredi AM,jeudi M,jeudi AM,vendredi M,vendredi AM
36,1,—,—,Urgences (5),—,—,Pédo-soin (PEDO-A3),—,—,Poly 5/5 avec 5516 (rattrap),Poly 5/5 avec 5516 (rattrap)
37,1,Poly 5/5 avec 5516,cours/indispo promo (C),cours/indispo promo (C),Urgences (5),—,Pédo-soin (PEDO-A3),cours/indispo promo (C),—,Poly 5/5 avec 5516,—
38,1,Poly 5/5 avec 5516,cours/indispo promo (C),cours/indispo promo (C),—,—,Pédo-soin (PEDO-A3),cours/indispo promo (C),Urgences (5),Poly 5/5 avec 5516,—
39,1,Poly 5/5 avec 5516,cours/indispo promo (C),cours/indispo promo (C),—,—,Pédo-soin (PEDO-A3),cours/indispo promo (C),—,Poly 5/5 avec 5516,—
40,1,Poly 5/5 avec 5516,cours/indispo promo (C),cours/indispo promo (C),Urgences (6/5),—,Pédo-soin (PEDO-A3),cours/indispo promo (C),—,Poly 5/5 avec 5516,—
41,1,Poly 5/5 avec 5516,cours/indispo promo (C),cours/indispo promo (C),—,—,Pédo-soin (PEDO-A3),cours/indispo promo (C),—,Poly 5/5 avec 5516,—
42,1,Poly 5/5 avec 5516,cours/indispo promo (C),cours/indispo promo (C),Urgences (6/5),—,Pédo-soin (PEDO-A3),cours/indispo promo (C),—,Poly 5/5 avec 5516,—
43,1,Poly 5/5 avec 5516,cours/indispo promo (C),cours/indispo promo (C),—,—,Pédo-soin (PEDO-A3),cours/indispo promo (C),—,Poly 5/5 avec 5516,—
44,1,Poly 5/5 avec 5516,cours/indispo promo (C),cours/indispo promo (C),Urgences (6/5),—,Pédo-soin (PEDO-A3),cours/indispo promo (C),—,Poly 5/5 avec 5516,—
45,2,—,cours/indispo promo (C),—,—,cours/indispo promo (C),—,Pédo-soin (PEDO-A3),—,Poly 5/5 avec 5516 (rattrap),Poly 5/5 avec 5516 (rattrap)
46,2,Urgences (5),cours/indispo promo (C),—,—,cours/indispo promo (F),cours/indispo promo (F),Pédo-soin (PEDO-A3),—,Poly 5/5 avec 5516 (rattrap),Poly 5/5 avec 5516 (rattrap)
47,2,Poly 5/5 avec 5516,cours/indispo promo (C),—,—,cours/indispo promo (C),—,Pédo-soin (PEDO-A3),—,—,Poly 5/5 avec 5516
48,2,Poly 5/5 avec 5516,cours/indispo promo (C),Urgences (6/5),—,cours/indispo promo (C),—,Pédo-soin (PEDO-A3),—,—,Poly 5/5 avec 5516
49,2,Poly 5/5 avec 5516,cours/indispo promo (C),—,—,cours/indispo promo (C),—,Pédo-soin (PEDO-A3),Urgences (5),—,Poly 5/5 avec 5516
50,2,—,cours/indispo promo (C),—,—,cours/indispo promo (C),—,Pédo-soin (PEDO-A3),—,—,Poly 5/5 avec 5516
51,2,Poly 5/5 avec 5516,cours/indispo promo (C),—,—,cours/indispo promo (C),—,Pédo-soin (PEDO-A3),Urgences (5),—,Poly 5/5 avec 5516
52,2,—,—,—,—,—,—,Pédo-soin (PEDO-A3),cours/indispo promo (F),cours/indispo promo (F),cours/indispo promo (F)
