RÉSUMÉ ÉTUDIANT
Code,6508
Année,6A
Type,5
Groupe,G5_06
Vacations Poly (total),70
Détail,normal:45 examen:3 rattrap:7 débord:15

Semaine,Période,lundi M,lundi AM,mardi M,mardi AM,mercredi M,mercredi AM,jeudi M,jeudi AM,vendredi M,vendredi AM
36,1,cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C)
37,1,cours/indispo promo (C),Poly trinome avec 4510+4511,Urgences (6/4),cours/indispo promo (C),—,—,—,cours/indispo promo (C),cours/indispo promo (C),Poly trinome avec 4510+4511
38,1,cours/indispo promo (C),—,—,cours/indispo promo (C),—,—,—,cours/indispo promo (C),cours/indispo promo (C),Poly trinome avec 4510+4511
39,1,—,Poly trinome avec 4510+4511,—,cours/indispo promo (C),—,—,Urgences (6/4),cours/indispo promo (C),—,Poly trinome avec 4510+4511
40,1,—,Poly trinome avec 4510+4511,—,—,—,—,—,—,—,Poly trinome avec 4510+4511
41,1,—,—,Urgences (6/4),—,—,—,—,—,—,Poly trinome avec 4510+4511
42,1,—,Poly trinome avec 4510+4511,—,—,—,—,—,—,—,Poly trinome avec 4510+4511
43,1,Urgences (6/5),—,—,—,—,—,—,—,—,Poly trinome avec 4510+4511
44,1,—,Poly trinome avec 4510+4511,—,—,—,—,Urgences (6/4),—,—,Poly trinome avec 4510+4511
45,2,Poly trinome avec 4510+4511 (rattrap),Poly trinome avec 4510+4511 (rattrap),—,—,Pédo-soin (PEDO-6A-A-merM),—,—,Urgences (6/4),—,—
46,2,—,Poly trinome avec 4510+4511 (rattrap),—,—,cours/indispo promo (F),cours/indispo promo (F),—,—,—,—
47,2,—,Urgences (6/4),—,—,Pédo-soin (PEDO-6A-A-merM),—,—,—,Poly trinome avec 4510+4511,—
48,2,—,Poly trinome avec 4510+4511,—,Urgences (6/4),Pédo-soin (PEDO-6A-A-merM),—,—,—,Poly trinome avec 4510+4511,—
49,2,—,Poly trinome avec 4510+4511,—,—,Pédo-soin (PEDO-6A-A-merM),Urgences (6/5),—,—,Poly trinome avec 4510+4511,—
50,2,—,—,—,—,cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (ER),cours/indispo promo (ER),Poly trinome avec 4510+4511,—
51,2,Urgences (6/4),—,—,—,Pédo-soin (PEDO-6A-A-merM),—,—,—,Poly trinome avec 4510+4511,—
52,2,—,Poly trinome avec 4510+4511 (rattrap),—,—,Pédo-soin (PEDO-6A-A-merM),—,—,cours/indispo promo (F),cours/indispo promo (F),cours/indispo promo (F)
1,2,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé
2,3,Poly trinome avec 4510+4511 (examen),Poly trinome avec 4510+4511 (examen),—,—,—,—,Pédo-soin (PEDO-6A-B-jeuM),—,—,—
3,3,—,Poly trinome avec 4510+4511,—,—,—,—,Pédo-soin (PEDO-6A-B-jeuM),—,—,Poly trinome avec 4510+4511
4,3,—,—,—,—,—,—,Pédo-soin (PEDO-6A-B-jeuM),—,Urgences (6/5),Poly trinome avec 4510+4511
5,3,—,Poly trinome avec 4510+4511,—,—,—,—,Pédo-soin (PEDO-6A-B-jeuM),—,Urgences (6/5),Poly trinome avec 4510+4511
6,3,—,Poly trinome avec 4510+4511 (rattrap),—,—,Urgences (6),—,Pédo-soin (PEDO-6A-B-jeuM),—,—,—
7,3,—,—,Urgences (6/5),—,—,—,Pédo-soin (PEDO-6A-B-jeuM),—,—,Poly trinome avec 4510+4511
8,3,—,Poly trinome avec 4510+4511,Urgences (6/5),—,—,—,Pédo-soin (PEDO-6A-B-jeuM),—,—,Poly trinome avec 4510+4511
9,4,S,S,S,S,S,S,S,S,S,S
10,4,S,S,S,S,S,S,S,S,S,S
11,4,S,S,S,S,S,S,S,S,S,S
12,4,S,S,S,S,S,S,S,S,S,S
13,4,S,S,S,S,S,S,S,S,S,S
14,4,S,S,S,S,S,S,S,S,S,S
15,4,S,S,S,S,S,S,S,S,S,S
16,4,Pédo-soin (PEDO-6A-B-lunM) [remplissage],—,—,—,—,—,Urgences (6/4),—,Poly trinome avec 4510+4511,Poly trinome avec 4510+4511 (débord)
17,4,—,—,—,—,—,—,—,—,Poly trinome avec 4510+4511,Poly trinome avec 4510+4511 (débord)
18,5,Urgences (6/4),—,—,—,—,Pédo-soin (PEDO-56-merAM),Urgences (6/5/4),—,Poly trinome avec 4510+4511,Poly trinome avec 4510+4511 (débord)
19,5,—,Poly 6A seul (examen),—,—,—,Pédo-soin (PEDO-56-merAM),cours/indispo promo (F),cours/indispo promo (F),Poly trinome avec 4510+4511,—
20,5,Urgences (6/5/4),—,—,—,—,Pédo-soin (PEDO-56-merAM),—,—,Poly trinome avec 4510+4511,Poly trinome avec 4510+4511 (débord)
