RÉSUMÉ ÉTUDIANT
Code,E5201
Année,5A
Type,2
Groupe,G2_55_01
Vacations Poly (total),69
Détail,normal:45 examen:4 rattrap:20 débord:0

Semaine,Période,lundi M,lundi AM,mardi M,mardi AM,mercredi M,mercredi AM,jeudi M,jeudi AM,vendredi M,vendredi AM
36,1,—,—,Poly trinome_5 avec 5201+5202 (rattrap),Poly trinome_5 avec 5201+5202 (rattrap),—,—,—,—,—,—
37,1,—,cours/indispo promo (C),cours/indispo promo (C),Poly trinome_5 avec 5201+5202,—,Poly trinome_5 avec 5201+5202,cours/indispo promo (C),—,—,—
38,1,—,cours/indispo promo (C),cours/indispo promo (C),Poly trinome_5 avec 5201+5202,—,Poly trinome_5 avec 5201+5202,cours/indispo promo (C),—,—,—
39,1,—,cours/indispo promo (C),cours/indispo promo (C),Poly trinome_5 avec 5201+5202,—,Poly trinome_5 avec 5201+5202,cours/indispo promo (C),—,—,—
40,1,—,cours/indispo promo (C),cours/indispo promo (C),Poly trinome_5 avec 5201+5202,—,Poly trinome_5 avec 5201+5202,cours/indispo promo (C),—,—,—
41,1,—,cours/indispo promo (C),cours/indispo promo (C),Poly trinome_5 avec 5201+5202,—,Poly trinome_5 avec 5201+5202,cours/indispo promo (C),—,—,—
42,1,—,cours/indispo promo (C),cours/indispo promo (C),Poly trinome_5 avec 5201+5202,—,Poly trinome_5 avec 5201+5202,cours/indispo promo (C),—,—,—
43,1,—,cours/indispo promo (C),cours/indispo promo (C),Poly trinome_5 avec 5201+5202,—,Poly trinome_5 avec 5201+5202,cours/indispo promo (C),—,—,—
44,1,—,cours/indispo promo (C),cours/indispo promo (C),Poly trinome_5 avec 5201+5202,—,Poly trinome_5 avec 5201+5202,cours/indispo promo (C),—,—,—
45,2,—,cours/indispo promo (C),Poly trinome_5 avec 5201+5202 (rattrap),—,cours/indispo promo (C),Poly trinome_5 avec 5201+5202 (rattrap),—,—,—,—
46,2,—,cours/indispo promo (C),Poly trinome_5 avec 5201+5202 (rattrap),Poly trinome_5 avec 5201+5202 (rattrap),cours/indispo promo (F),cours/indispo promo (F),—,—,—,—
47,2,—,cours/indispo promo (C),Poly trinome_5 avec 5201+5202,—,cours/indispo promo (C),Poly trinome_5 avec 5201+5202,—,—,—,—
